HUMS.Healthy',HUMS.Unhealthy',BMRQ.Social_Reward',BMRQ.Musical_Seeking',BMRQ.Mood_Regulation',BMRQ.Sensory_Motor',BMRQ.Emotional_Evocation',IRI.Perspective_Taking',IRI.Fantasy',IRI.Empathic_Concern',IRI.Personal_Distress',EC.Happiness',EC.Love',EC.Fear',EC.Anger',EC.Sadness',P.Extraversion',P.Agreeableness',P.Conscientiousness',P.Neuroticism',P.Openness'
11,20,10,11,10,12,11,23,21,21,20,7,7,7,6,7,24,21,30,24,26
20,9,12,16,16,11,13,28,18,29,15,10,7,9,7,6,12,38,39,15,24
18,14,11,12,17,18,13,23,16,27,18,9,9,9,8,9,31,36,42,17,41
17,16,13,14,16,19,18,29,22,26,15,12,9,7,8,8,20,38,39,22,42
13,9,11,6,13,15,14,24,26,29,18,10,9,9,6,8,16,40,32,21,31
16,14,10,13,14,14,12,25,29,24,19,9,10,9,9,7,22,31,32,22,35
25,40,20,16,20,16,20,30,24,24,26,11,12,12,9,12,24,28,32,19,42
19,19,14,9,14,16,16,30,19,27,26,12,10,8,9,8,31,32,33,22,38
22,33,16,16,19,17,19,20,25,25,21,9,12,9,6,11,27,22,28,26,38
11,9,8,4,8,7,11,28,35,35,18,7,12,9,8,10,15,34,24,27,45
21,10,15,17,18,15,17,29,22,31,12,11,11,10,7,9,36,43,45,11,32
19,17,14,13,16,12,15,26,23,31,12,10,11,7,8,9,22,34,40,21,38
18,17,15,15,17,16,15,24,19,27,18,9,10,8,6,7,19,32,37,32,34
19,14,16,14,18,16,18,28,31,32,27,12,11,12,11,12,24,41,36,25,41
19,18,13,17,15,17,13,21,25,33,19,12,11,10,9,11,28,42,37,28,38
19,15,14,15,18,15,14,25,24,23,19,9,9,9,9,9,28,36,30,20,35
18,17,17,16,15,18,16,28,18,27,18,11,10,10,8,6,32,41,30,17,42
21,15,12,16,19,17,18,22,26,29,18,12,11,12,12,12,22,34,39,34,40
20,19,19,17,19,20,20,27,28,34,17,12,11,9,8,12,35,38,41,25,46
